PartID,LexT_20221101_1452540711_aFJFb2v
age,24
gender,f
country,Bhilwara
 Rajasthan
education,Master
P_status,UX Researcher
discipline,Cognitive Science
publications,less than or equal to 10
firstLang,Hindi
otherLang,English
rateEnglish,8
rateSpeak,7
rateUnd,8
rateRead,8
rateWrite,7
age_start_speaking_english,0 to 1.5 years
experienceEnglish,20 to 25
FormalEduEng,English
PrimEduEng,English
SecEduEng,English
HighEduEng,English
UniEduEng_Uni,English
readhrsPerDay,1 to 5
writehrsPerDay,1 to 5
speakhrsPerDay,1 to 5
inst_flag,null
uniqueID,d520c7a8-421b-4563-b955-f5abc56b97ec
resTotal,1536_864
resAvail,1536_824
colDepth,24
orient,landscape-primary (angle-0)
deviceLang,en-us
os,Windows_10-64_bit
browser,Chrome-(Blink) 106.0.0.0
describe,Chrome 106.0.0.0 on Windows 10 64-bit
company,null_null
userAgent,Mozilla/5.0 (Windows NT 10.0-Win64-x64) AppleWebKit/537.36 (KHTML-like Gecko) Chrome/106.0.0.0 Safari/537.36
isTouch,false
isTablet,false
windowRes,1536_824
ip,49.36.233.48
isp,Reliance Jio Infocomm Limited
org,RJIL North FTTX PUBLIC
hostname,49.36.233.48
latitude,26.9196
longitude,75.7878
postal_code,
city,Jaipur
country_code,IN
country_name,India
continent_code,AS
continent_name,Asia
region,Rajasthan
district,Jaipur
timezone_name,Asia/Kolkata
connection_type,Cable/DSL
asn_number,55836
asn_org,Reliance Jio Infocomm Limited
asn,AS55836 - Reliance Jio Infocomm Limited
currency_code,INR
currency_name,Indian Rupee
success,true
premium,false
